scenario,replicate,year,C_f,S_b-i,P_adp,C_adp,V_LUC,R2,R1,S_LUC,div,div_loss
45,0,2064,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,221.1190578,-21.84260488
45,0,2065,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,220.4028143,-22.09577042
45,0,2066,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,219.7508106,-22.32622957
45,0,2067,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,219.0801468,-22.56328438
45,0,2068,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,218.3547262,-22.81969369
45,0,2069,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,217.8040991,-23.01431997
45,0,2070,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,217.3952891,-23.15881916
45,0,2071,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,214.5966962,-24.14801807
45,0,2072,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,211.9946773,-25.06773535
45,0,2073,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,209.6078923,-25.91137543
45,0,2074,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,207.5301927,-26.64576526
45,0,2075,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,205.5839095,-27.33370427
45,0,2076,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,203.7223616,-27.99169249
45,0,2077,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,202.1474457,-28.54836691
45,0,2078,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,200.6650352,-29.0723441
45,0,2079,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,199.1798103,-29.59731608
45,0,2080,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,197.9960232,-30.01574097
45,0,2081,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,193.5991435,-31.56987505
45,0,2082,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,189.5179566,-33.01242342
45,0,2083,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,185.894402,-34.29321573
45,0,2084,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,182.7059651,-35.42021005
45,0,2085,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,179.6299786,-36.50745733
45,0,2086,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,176.7869685,-37.51235607
45,0,2087,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,174.0951361,-38.4638191
45,0,2088,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,171.7037014,-39.30910267
45,0,2089,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,169.5149587,-40.08274213
45,0,2090,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,167.4104007,-40.82662541
45,0,2091,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,165.5628633,-41.47966144
45,0,2092,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,163.8703579,-42.0778994
45,0,2093,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,162.3792597,-42.60494737
45,0,2094,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,160.9692261,-43.10334201
45,0,2095,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,159.6173753,-43.58117118
45,0,2096,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,158.3453656,-44.03077949
45,0,2097,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,157.1873356,-44.44010019
45,0,2098,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,156.1284797,-44.81436653
45,0,2099,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,155.2102784,-45.13891667
45,1,2015,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,175.233738,0
45,1,2016,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,175.1404734,-0.05322297
45,1,2017,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,174.9911144,-0.138457127
45,1,2018,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,174.7477447,-0.277340029
45,1,2019,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,174.4147731,-0.467355721
45,1,2020,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,173.8857085,-0.769275092
45,1,2021,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,173.0873635,-1.22486373
